File,Path,Size,Modified Time,Access Time,Created Time,Owner,Group,Mode
wallet1.dat,/home/hallvardr/Documents/TFM/TFM/results/wallet1.dat,1015808,Sun Apr 14 13:34:52 2019,Sun Apr 14 16:10:24 2019,Sun Apr 14 13:34:52 2019,1000,1000,33261
wallet_dump.txt,/home/hallvardr/Documents/TFM/TFM/results/wallet_dump.txt,986421,Sun Apr  7 20:53:05 2019,Sat Apr 13 19:47:24 2019,Sun Apr  7 20:53:05 2019,1000,1000,33188
hashoriginal.txt,/home/hallvardr/Documents/TFM/TFM/results/hashoriginal.txt,32,Sun Apr 14 12:59:45 2019,Sun Apr 14 15:44:00 2019,Sun Apr 14 12:59:45 2019,1000,1000,33188
copy_image.dd,/home/hallvardr/Documents/TFM/TFM/results/copy_image.dd,7759462400,Sun Apr 14 12:58:47 2019,Sun Apr 28 22:59:35 2019,Sun Apr 14 12:58:47 2019,0,0,33188
wallet_hash.txt,/home/hallvardr/Documents/TFM/TFM/results/wallet_hash.txt,274,Sun Apr 14 13:36:49 2019,Sun Apr 28 23:03:54 2019,Sun Apr 14 13:36:49 2019,1000,1000,33188
Timeline_Results.csv,/home/hallvardr/Documents/TFM/TFM/results/Timeline_Results.csv,0,Sun Apr 28 23:14:04 2019,Sun Apr 14 13:12:35 2019,Sun Apr 28 23:14:04 2019,1000,1000,33188
output_hash.txt,/home/hallvardr/Documents/TFM/TFM/results/output_hash.txt,90,Sun Apr 14 15:43:05 2019,Sun Apr 14 15:44:05 2019,Sun Apr 14 15:43:05 2019,1000,1000,33188
photorec.log,/home/hallvardr/Documents/TFM/TFM/results/photorec.log,2178790,Sun Apr 14 13:02:35 2019,Sun Apr 14 17:48:38 2019,Sun Apr 14 17:48:31 2019,1000,1000,33188
wallet.dat,/home/hallvardr/Documents/TFM/TFM/results/wallet.dat,1015808,Sun Apr 14 13:34:52 2019,Sun Apr 28 23:01:33 2019,Sun Apr 14 13:34:52 2019,1000,1000,33261
f1075010.txt,/home/hallvardr/Documents/TFM/TFM/results/recovery/file_recovery.2/f1075010.txt,27824,Sun Apr 14 13:00:23 2019,Sun Apr 14 13:11:21 2019,Sun Apr 14 13:00:23 2019,1000,1000,33188
